,17%,25%,50%,75%,83%
B[Kauai-Na Pali Waves],-0.031384628,0.000357163,0.123934198,0.34999112,0.467883361
B[Lanai-North Waves],-0.029520552,0.000912293,0.123670562,0.34937477,0.457448945
B[Lanai-South Waves],-0.024860964,0.002983038,0.131250333,0.361564469,0.469822098
B[Maui-Kahului Waves],-0.012008806,0.012026329,0.149473082,0.379923501,0.48789701
B[Maui-Kihei Waves],-0.009985798,0.014777181,0.156849818,0.389179413,0.498520876
B[Maui-Lahaina Waves],-0.013017315,0.011075654,0.148369015,0.377115003,0.490339295
B[Maui-Northeast Waves],-0.014021451,0.010197718,0.149343812,0.378344762,0.493938401
B[Maui-Northwest Waves],-0.013250967,0.011216208,0.14671899,0.381400477,0.496946763
B[Molokai-Northwest Waves],-0.016249979,0.009042823,0.140892237,0.360222231,0.467582979
B[Molokai-Pali Waves],-0.016767198,0.008965772,0.139145096,0.363598443,0.47265114
B[Molokai-South Waves],-0.015070092,0.010224256,0.142594694,0.356460391,0.458678311
B[Molokai-West Waves],-0.028490331,0.001029777,0.119721654,0.323312822,0.420343825
B[Niihau-East Waves],-0.032847275,-0.000573105,0.119427911,0.340044684,0.447895064
B[Niihau-Lehua Waves],-0.031747938,0.000902322,0.130347954,0.364770175,0.483533719
B[Niihau-West Waves],-0.047623698,-0.007815554,0.095593267,0.296328041,0.396652972
B[Oahu-East Waves],-0.020312571,0.006437235,0.139466017,0.369347574,0.480314728
B[Oahu-Kaena Waves],-0.035638991,-0.001453029,0.114117224,0.32856711,0.433030172
B[Oahu-Northeast Waves],-0.019723553,0.00643618,0.139580292,0.367191688,0.479548968
B[Oahu-Northwest Waves],-0.033464837,-0.000807432,0.115164359,0.327183765,0.432549964
B[Oahu-South Waves],-0.028816075,0.001179641,0.125645413,0.344318563,0.453278523
B[Hawaii-Hamakua Waves x Waves],-0.332218478,-0.246060827,-0.073732624,0.014689609,0.050180911
B[Hawaii-Kona Waves x Waves],-0.382284898,-0.281064913,-0.091009217,0.010216703,0.043700211
B[Hawaii-Puna Waves x Waves],-0.343842693,-0.252499588,-0.080340008,0.013441676,0.049177476
B[Hawaii-Southeast Waves x Waves],-0.365918722,-0.274127848,-0.090744102,0.00824125,0.039188888
B[Kauai-East Waves x Waves],-0.429614875,-0.323887565,-0.115730004,-0.000956514,0.026302334
B[Kauai-Na Pali Waves x Waves],-0.432308411,-0.334195081,-0.134282965,-0.010596072,0.012978441
B[Lanai-North Waves x Waves],-0.39767666,-0.302309264,-0.108788136,0.001274731,0.027841921
B[Lanai-South Waves x Waves],-0.392458225,-0.296100986,-0.10440676,0.001772796,0.029365142
B[Maui-Kahului Waves x Waves],-0.373298428,-0.279618537,-0.096372788,0.003355993,0.030594581
