,17%,25%,50%,75%,83%
B[Molokai-Pali SST],-0.321633435,-0.235246803,-0.065015973,0.035100674,0.090365878
B[Molokai-South SST],-0.365071266,-0.271164857,-0.084842215,0.022107413,0.070278581
B[Molokai-West SST],-0.289241543,-0.207197336,-0.046554861,0.05822807,0.124170465
B[Niihau-East SST],-0.460027995,-0.321716593,-0.078210166,0.045458169,0.117605474
B[Niihau-Lehua SST],-0.388565349,-0.274500801,-0.060406417,0.062449344,0.140053017
B[Niihau-West SST],-0.387156836,-0.28308825,-0.081091392,0.029391804,0.084525861
B[Oahu-East SST],-0.377455551,-0.278470198,-0.088315495,0.022439673,0.071565132
B[Oahu-Kaena SST],-0.367863317,-0.270588967,-0.0773447,0.029136613,0.082583237
B[Oahu-Northeast SST],-0.373617253,-0.271299975,-0.078501879,0.029356858,0.082359772
B[Oahu-Northwest SST],-0.343989483,-0.247870249,-0.061092113,0.047327758,0.108716873
B[Oahu-South SST],-0.368954499,-0.271584803,-0.079116125,0.027696867,0.077439406
B[Hawaii-Hamakua Waves],-0.026486103,0.024848277,0.237012469,0.553927009,0.700712695
B[Hawaii-Kona Waves],-0.048322971,0.010526245,0.210942868,0.515247378,0.65801633
B[Hawaii-Puna Waves],-0.027111255,0.024054582,0.245113433,0.571954616,0.735370581
B[Hawaii-Southeast Waves],-0.058333092,0.00489152,0.203319952,0.513477907,0.656487673
B[Kauai-East Waves],-0.137207668,-0.03962826,0.160922978,0.486639858,0.648483073
B[Kauai-Na Pali Waves],-0.044915309,0.011253915,0.223364826,0.541766919,0.699360201
B[Lanai-North Waves],-0.061554243,0.00164013,0.192833662,0.503023229,0.650752243
B[Lanai-South Waves],-0.031690265,0.019337753,0.231433581,0.553184541,0.710407148
B[Maui-Kahului Waves],-0.021471482,0.028891514,0.243272346,0.565948688,0.717437536
B[Maui-Kihei Waves],-0.011537241,0.040876803,0.26987323,0.598386447,0.755349614
B[Maui-Lahaina Waves],-0.016799344,0.033322608,0.257849574,0.580465734,0.735996396
B[Maui-Northeast Waves],-0.024677023,0.02593805,0.244757112,0.566993381,0.723999259
B[Maui-Northwest Waves],-0.024794486,0.025836872,0.243804396,0.572586523,0.741174905
B[Molokai-Northwest Waves],-0.028388402,0.021021383,0.227297395,0.53394385,0.683148374
B[Molokai-Pali Waves],-0.064015775,-0.002927583,0.175618461,0.449776884,0.58296072
B[Molokai-South Waves],-0.032637211,0.017379222,0.211135993,0.4962543,0.636564939
B[Molokai-West Waves],-0.105419017,-0.026759596,0.142218612,0.406379353,0.535497852
B[Niihau-East Waves],-0.026696763,0.033837317,0.315440118,0.784279561,1.02928899
B[Niihau-Lehua Waves],-0.282084125,-0.144469712,0.066454732,0.339220262,0.49143435
B[Niihau-West Waves],-0.255753828,-0.128789352,0.054591913,0.29126497,0.412540792
B[Oahu-East Waves],-0.074484318,-0.005563085,0.181587057,0.482303038,0.634924225
B[Oahu-Kaena Waves],-0.111357761,-0.031365955,0.146100043,0.428623338,0.570317851
B[Oahu-Northeast Waves],-0.026769272,0.027452224,0.248784908,0.597328049,0.774519027
B[Oahu-Northwest Waves],-0.08036953,-0.010522135,0.176237788,0.480116269,0.634367009
B[Oahu-South Waves],-0.100251049,-0.023861515,0.160229914,0.459235732,0.614618613
B[Hawaii-Hamakua Waves x Waves],-0.351123273,-0.238726259,-0.042943547,0.075309624,0.153575913
B[Hawaii-Kona Waves x Waves],-0.375635226,-0.256153487,-0.051487256,0.067375462,0.143038887
B[Hawaii-Puna Waves x Waves],-0.357436264,-0.243764146,-0.045735296,0.074566211,0.155555272
B[Hawaii-Southeast Waves x Waves],-0.381170195,-0.261608791,-0.053080897,0.066388996,0.140761341
B[Kauai-East Waves x Waves],-0.461877803,-0.315987101,-0.069313364,0.054539729,0.133496986
B[Kauai-Na Pali Waves x Waves],-0.378861366,-0.264799349,-0.061019369,0.052181631,0.120708791
B[Lanai-North Waves x Waves],-0.387916867,-0.27074232,-0.060873335,0.054314621,0.127512489
B[Lanai-South Waves x Waves],-0.367092211,-0.253748369,-0.053349463,0.062736147,0.140355599
B[Maui-Kahului Waves x Waves],-0.365246352,-0.252672051,-0.054631272,0.061618423,0.136133893
B[Maui-Kihei Waves x Waves],-0.350777714,-0.241364184,-0.046556787,0.068729858,0.14712132
B[Maui-Lahaina Waves x Waves],-0.359542848,-0.244130696,-0.047447154,0.068592079,0.146668019
B[Maui-Northeast Waves x Waves],-0.365410825,-0.251266863,-0.053789063,0.062747902,0.136396276
B[Maui-Northwest Waves x Waves],-0.359604865,-0.246542768,-0.0512241,0.067105064,0.145887458
B[Molokai-Northwest Waves x Waves],-0.353731212,-0.243260991,-0.051137897,0.062828606,0.138873498
B[Molokai-Pali Waves x Waves],-0.382904793,-0.270309185,-0.067494658,0.041834685,0.104704562
B[Molokai-South Waves x Waves],-0.368103932,-0.255868135,-0.056810965,0.056208217,0.126209521
B[Molokai-West Waves x Waves],-0.40709332,-0.286626466,-0.071829637,0.038943649,0.102598717
B[Niihau-East Waves x Waves],-0.428282571,-0.292396884,-0.053575192,0.085300494,0.187332435
B[Niihau-Lehua Waves x Waves],-0.489718447,-0.354671673,-0.098427355,0.027975228,0.091062368
B[Niihau-West Waves x Waves],-0.484848165,-0.359195353,-0.114136544,0.009967002,0.054518035
B[Oahu-East Waves x Waves],-0.419076225,-0.295606315,-0.072981777,0.042907533,0.109156081
B[Oahu-Kaena Waves x Waves],-0.452872558,-0.327926021,-0.093249338,0.02455351,0.077713825
B[Oahu-Northeast Waves x Waves],-0.34917529,-0.238107876,-0.044362055,0.077597397,0.157961891
B[Oahu-Northwest Waves x Waves],-0.395733664,-0.27751871,-0.065112962,0.051720879,0.120356116
B[Oahu-South Waves x Waves],-0.447521268,-0.312958128,-0.077870435,0.041027637,0.106602316
B[Hawaii-Hamakua Human Density],-0.783577967,-0.661714743,-0.357643421,0.000798268,0.181494865
B[Hawaii-Kona Human Density],-0.681100831,-0.561903327,-0.268765855,0.079871763,0.249735762
B[Hawaii-Puna Human Density],-0.791481266,-0.662877043,-0.360469939,-0.009842582,0.15923169
B[Hawaii-Southeast Human Density],-0.779363578,-0.652329035,-0.345719909,0.015662056,0.194144192
B[Kauai-East Human Density],-0.9757034,-0.801333763,-0.384305953,0.167065348,0.507255166
B[Kauai-Na Pali Human Density],-1.472339624,-1.255893443,-0.827286514,-0.484702419,-0.346830888
B[Lanai-North Human Density],-1.337457294,-1.15001269,-0.764738939,-0.440102165,-0.301124138
B[Lanai-South Human Density],-1.435256662,-1.238257927,-0.857888726,-0.539283559,-0.413281369
B[Maui-Kahului Human Density],-1.173917608,-1.038136793,-0.733085413,-0.44777145,-0.329107316
B[Maui-Kihei Human Density],-1.303834386,-1.15127662,-0.820087012,-0.527584925,-0.410341941
B[Maui-Lahaina Human Density],-1.301229914,-1.147641769,-0.811751768,-0.512772123,-0.392931598
B[Maui-Northeast Human Density],-1.299701632,-1.148728377,-0.820312597,-0.530484167,-0.410513537
B[Maui-Northwest Human Density],-1.214459359,-1.057179807,-0.728585755,-0.421307389,-0.289186821
B[Molokai-Northwest Human Density],-1.280246571,-1.108785488,-0.743900043,-0.435791204,-0.309829978
B[Molokai-Pali Human Density],-1.317964831,-1.147745665,-0.801683921,-0.50372546,-0.389596134
B[Molokai-South Human Density],-1.143895079,-0.992841976,-0.675138605,-0.383899672,-0.259932811
B[Molokai-West Human Density],-1.177628074,-1.031069202,-0.72240849,-0.451485364,-0.339957879
B[Niihau-East Human Density],-1.260685197,-1.053502245,-0.650743732,-0.31005394,-0.16738003
B[Niihau-Lehua Human Density],-1.698338211,-1.50018457,-1.072332458,-0.69928028,-0.554293959
B[Niihau-West Human Density],-1.314703644,-1.176618765,-0.875503154,-0.595649057,-0.483254831
B[Oahu-East Human Density],-0.777597082,-0.670831526,-0.407742182,-0.124554239,0.004826733
B[Oahu-Kaena Human Density],-1.153328474,-0.980897779,-0.632097601,-0.315778834,-0.180830516
